Eval epoch 66, loss: 0.320, acc: 0.833
Epoch 67, loss: 0.550, acc: 0.787
Eval epoch 67, loss: 0.347, acc: 0.889
Epoch 68, loss: 0.637, acc: 0.780
Eval epoch 68, loss: 0.365, acc: 0.889
Epoch 69, loss: 0.542, acc: 0.800
Eval epoch 69, loss: 0.339, acc: 0.833
Epoch 70, loss: 0.552, acc: 0.820
Eval epoch 70, loss: 0.382, acc: 0.889
Epoch 71, loss: 0.547, acc: 0.787
Eval epoch 71, loss: 0.429, acc: 0.722
Epoch 72, loss: 0.520, acc: 0.780
Eval epoch 72, loss: 0.577, acc: 0.778
Epoch 73, loss: 0.515, acc: 0.753
Eval epoch 73, loss: 0.803, acc: 0.611
Epoch 74, loss: 0.517, acc: 0.780
Eval epoch 74, loss: 0.711, acc: 0.611
Epoch 75, loss: 0.590, acc: 0.780
Eval epoch 75, loss: 0.530, acc: 0.722
Epoch 76, loss: 0.528, acc: 0.767
Eval epoch 76, loss: 0.476, acc: 0.778
Epoch 77, loss: 0.549, acc: 0.787
Eval epoch 77, loss: 0.424, acc: 0.722
Epoch 78, loss: 0.617, acc: 0.760
Eval epoch 78, loss: 0.437, acc: 0.778
Epoch 79, loss: 0.500, acc: 0.793
Eval epoch 79, loss: 0.573, acc: 0.778
Epoch 80, loss: 0.532, acc: 0.807
Eval epoch 80, loss: 0.472, acc: 0.778
Epoch 81, loss: 0.534, acc: 0.800
Eval epoch 81, loss: 0.520, acc: 0.722
Epoch 82, loss: 0.538, acc: 0.793
Eval epoch 82, loss: 0.416, acc: 0.778
Epoch 83, loss: 0.488, acc: 0.807
Eval epoch 83, loss: 0.544, acc: 0.778
Epoch 84, loss: 0.584, acc: 0.793
Eval epoch 84, loss: 0.351, acc: 0.833
Epoch 85, loss: 0.472, acc: 0.800
Eval epoch 85, loss: 0.488, acc: 0.611
Epoch 86, loss: 0.536, acc: 0.767
Eval epoch 86, loss: 0.427, acc: 0.667
Epoch 87, loss: 0.483, acc: 0.780
Eval epoch 87, loss: 0.441, acc: 0.722
Epoch 88, loss: 0.512, acc: 0.760
Eval epoch 88, loss: 0.387, acc: 0.778
Epoch 89, loss: 0.547, acc: 0.793
Eval epoch 89, loss: 0.401, acc: 0.833
Epoch 90, loss: 0.529, acc: 0.793
Eval epoch 90, loss: 0.490, acc: 0.722
Epoch 91, loss: 0.488, acc: 0.807
Eval epoch 91, loss: 0.540, acc: 0.778
Epoch 92, loss: 0.518, acc: 0.813
Eval epoch 92, loss: 0.481, acc: 0.722
Epoch 93, loss: 0.508, acc: 0.800
Eval epoch 93, loss: 0.527, acc: 0.722
Epoch 94, loss: 0.480, acc: 0.827
Eval epoch 94, loss: 0.544, acc: 0.667
Epoch 95, loss: 0.527, acc: 0.787
Eval epoch 95, loss: 0.386, acc: 0.778
Epoch 96, loss: 0.542, acc: 0.767
Eval epoch 96, loss: 0.335, acc: 0.778
Epoch 97, loss: 0.513, acc: 0.813
Eval epoch 97, loss: 0.439, acc: 0.833
Epoch 98, loss: 0.513, acc: 0.793
Eval epoch 98, loss: 0.313, acc: 0.833
Epoch 99, loss: 0.525, acc: 0.807
Eval epoch 99, loss: 0.388, acc: 0.833
Epoch 100, loss: 0.502, acc: 0.800
Eval epoch 100, loss: 0.432, acc: 0.778
Epoch 101, loss: 0.506, acc: 0.820
Eval epoch 101, loss: 0.458, acc: 0.667
Epoch 102, loss: 0.534, acc: 0.780
Eval epoch 102, loss: 0.422, acc: 0.722
Epoch 103, loss: 0.503, acc: 0.780
Eval epoch 103, loss: 0.731, acc: 0.667
Epoch 104, loss: 0.524, acc: 0.780
Eval epoch 104, loss: 0.603, acc: 0.667
Epoch 105, loss: 0.570, acc: 0.793
Eval epoch 105, loss: 0.625, acc: 0.722
Epoch 106, loss: 0.545, acc: 0.833
Eval epoch 106, loss: 0.415, acc: 0.778
Epoch 107, loss: 0.518, acc: 0.787
Eval epoch 107, loss: 0.383, acc: 0.833
Epoch 108, loss: 0.489, acc: 0.800
Eval epoch 108, loss: 0.379, acc: 0.889
Epoch 109, loss: 0.491, acc: 0.807
Eval epoch 109, loss: 0.346, acc: 0.778
Epoch 110, loss: 0.484, acc: 0.813
Eval epoch 110, loss: 0.532, acc: 0.667
Epoch 111, loss: 0.514, acc: 0.793
Eval epoch 111, loss: 0.407, acc: 0.667
Epoch 112, loss: 0.519, acc: 0.820
Eval epoch 112, loss: 0.513, acc: 0.833
Epoch 113, loss: 0.462, acc: 0.773
Eval epoch 113, loss: 0.442, acc: 0.722
Epoch 114, loss: 0.534, acc: 0.780
Eval epoch 114, loss: 0.587, acc: 0.778
Epoch 115, loss: 0.494, acc: 0.833
Eval epoch 115, loss: 0.431, acc: 0.722
Epoch 116, loss: 0.505, acc: 0.813
Eval epoch 116, loss: 0.478, acc: 0.778
Epoch 117, loss: 0.765, acc: 0.780
Eval epoch 117, loss: 0.518, acc: 0.667
Epoch 118, loss: 0.471, acc: 0.840
Eval epoch 118, loss: 0.433, acc: 0.778
Epoch 119, loss: 0.522, acc: 0.793
Eval epoch 119, loss: 0.334, acc: 0.889
Epoch 120, loss: 0.485, acc: 0.793
Eval epoch 120, loss: 0.450, acc: 0.722
Epoch 121, loss: 0.488, acc: 0.833
Eval epoch 121, loss: 0.651, acc: 0.778
Epoch 122, loss: 0.498, acc: 0.820
Eval epoch 122, loss: 0.734, acc: 0.722
Epoch 123, loss: 0.518, acc: 0.807
Eval epoch 123, loss: 0.478, acc: 0.778
Epoch 124, loss: 0.550, acc: 0.800
Eval epoch 124, loss: 0.355, acc: 0.833
Epoch 125, loss: 0.495, acc: 0.807
Eval epoch 125, loss: 0.438, acc: 0.833
Epoch 126, loss: 0.492, acc: 0.807
Eval epoch 126, loss: 0.416, acc: 0.778
Epoch 127, loss: 0.514, acc: 0.773
Eval epoch 127, loss: 0.401, acc: 0.778
Epoch 128, loss: 0.502, acc: 0.827
Eval epoch 128, loss: 0.420, acc: 0.889
Epoch 129, loss: 0.449, acc: 0.827
Eval epoch 129, loss: 0.317, acc: 0.778
Epoch 130, loss: 0.624, acc: 0.780
Eval epoch 130, loss: 0.535, acc: 0.778
Epoch 131, loss: 0.511, acc: 0.853
Eval epoch 131, loss: 0.605, acc: 0.722
Epoch 132, loss: 0.594, acc: 0.800
Eval epoch 132, loss: 0.466, acc: 0.778
Epoch 133, loss: 0.462, acc: 0.853
Eval epoch 133, loss: 0.348, acc: 0.889
Epoch 134, loss: 0.503, acc: 0.827
Eval epoch 134, loss: 0.343, acc: 0.833
Epoch 135, loss: 0.540, acc: 0.793
Eval epoch 135, loss: 0.668, acc: 0.722
Epoch 136, loss: 0.536, acc: 0.827
Eval epoch 136, loss: 2.183, acc: 0.389
Epoch 137, loss: 0.547, acc: 0.780
Eval epoch 137, loss: 0.536, acc: 0.722
Epoch 138, loss: 0.544, acc: 0.840
Eval epoch 138, loss: 0.530, acc: 0.722
Epoch 139, loss: 0.565, acc: 0.847
Eval epoch 139, loss: 0.349, acc: 0.889
Epoch 140, loss: 0.530, acc: 0.827
Eval epoch 140, loss: 0.318, acc: 0.889
Epoch 141, loss: 0.567, acc: 0.753
Eval epoch 141, loss: 0.417, acc: 0.833
Epoch 142, loss: 0.579, acc: 0.793
Eval epoch 142, loss: 0.333, acc: 0.889
Epoch 143, loss: 0.564, acc: 0.780
Eval epoch 143, loss: 0.308, acc: 0.833
Epoch 144, loss: 0.472, acc: 0.833
Eval epoch 144, loss: 0.394, acc: 0.722
Epoch 145, loss: 0.506, acc: 0.807
Eval epoch 145, loss: 0.503, acc: 0.722
Epoch 146, loss: 0.715, acc: 0.747
Eval epoch 146, loss: 0.660, acc: 0.667
Epoch 147, loss: 0.520, acc: 0.800
Eval epoch 147, loss: 0.478, acc: 0.778
Epoch 148, loss: 0.620, acc: 0.813
Eval epoch 148, loss: 0.319, acc: 0.778
Epoch 149, loss: 0.479, acc: 0.847
Eval epoch 149, loss: 0.501, acc: 0.667
Epoch 150, loss: 0.572, acc: 0.827
Eval epoch 150, loss: 0.800, acc: 0.667
Epoch 151, loss: 0.499, acc: 0.833
Eval epoch 151, loss: 0.344, acc: 0.833
Epoch 152, loss: 0.515, acc: 0.813
Eval epoch 152, loss: 0.327, acc: 0.944
Epoch 153, loss: 0.500, acc: 0.813
Eval epoch 153, loss: 0.458, acc: 0.722
Epoch 154, loss: 0.501, acc: 0.787
Eval epoch 154, loss: 0.327, acc: 0.889
Epoch 155, loss: 0.487, acc: 0.800
Eval epoch 155, loss: 0.348, acc: 0.833
Epoch 156, loss: 0.534, acc: 0.793
Eval epoch 156, loss: 0.518, acc: 0.889
Epoch 157, loss: 0.606, acc: 0.793
Eval epoch 157, loss: 0.448, acc: 0.778
Epoch 158, loss: 0.550, acc: 0.767
Eval epoch 158, loss: 0.449, acc: 0.778
Epoch 159, loss: 0.528, acc: 0.807
Eval epoch 159, loss: 0.423, acc: 0.722
Epoch 160, loss: 0.500, acc: 0.800
Eval epoch 160, loss: 0.477, acc: 0.722
Epoch 161, loss: 0.469, acc: 0.833
Eval epoch 161, loss: 0.474, acc: 0.778
Epoch 162, loss: 0.483, acc: 0.840
Eval epoch 162, loss: 0.471, acc: 0.722
Epoch 163, loss: 0.562, acc: 0.813
Eval epoch 163, loss: 0.411, acc: 0.778
Epoch 164, loss: 0.460, acc: 0.840
Eval epoch 164, loss: 0.592, acc: 0.722
Epoch 165, loss: 0.507, acc: 0.820
Eval epoch 165, loss: 0.496, acc: 0.778
Epoch 166, loss: 0.480, acc: 0.820
Eval epoch 166, loss: 0.412, acc: 0.833
Epoch 167, loss: 0.477, acc: 0.867
Eval epoch 167, loss: 0.409, acc: 0.722
Epoch 168, loss: 0.458, acc: 0.820
Eval epoch 168, loss: 0.337, acc: 0.889
Epoch 169, loss: 0.490, acc: 0.813
Eval epoch 169, loss: 0.484, acc: 0.889
Epoch 170, loss: 0.471, acc: 0.827
Eval epoch 170, loss: 0.397, acc: 0.722
Epoch 171, loss: 0.464, acc: 0.827
Eval epoch 171, loss: 0.387, acc: 0.778
Epoch 172, loss: 0.471, acc: 0.833
Eval epoch 172, loss: 0.299, acc: 0.889
Epoch 173, loss: 0.444, acc: 0.853
Eval epoch 173, loss: 0.494, acc: 0.778
Epoch 174, loss: 0.527, acc: 0.787
Eval epoch 174, loss: 0.517, acc: 0.778
Epoch 175, loss: 0.506, acc: 0.813
Eval epoch 175, loss: 0.617, acc: 0.667
Epoch 176, loss: 0.469, acc: 0.813
Eval epoch 176, loss: 0.655, acc: 0.667
Epoch 177, loss: 0.460, acc: 0.840
Eval epoch 177, loss: 0.387, acc: 0.833
Epoch 178, loss: 0.474, acc: 0.813
Eval epoch 178, loss: 0.339, acc: 0.833
Epoch 179, loss: 0.502, acc: 0.773
Eval epoch 179, loss: 0.510, acc: 0.778
Epoch 180, loss: 0.487, acc: 0.827
Eval epoch 180, loss: 0.436, acc: 0.722
Epoch 181, loss: 0.487, acc: 0.800
Eval epoch 181, loss: 0.292, acc: 0.889
Epoch 182, loss: 0.484, acc: 0.833
Eval epoch 182, loss: 0.436, acc: 0.889
Epoch 183, loss: 0.461, acc: 0.813
Eval epoch 183, loss: 0.418, acc: 0.722
Epoch 184, loss: 0.427, acc: 0.820
Eval epoch 184, loss: 0.984, acc: 0.611
Epoch 185, loss: 0.480, acc: 0.840
Eval epoch 185, loss: 0.964, acc: 0.667
Epoch 186, loss: 0.467, acc: 0.780
Eval epoch 186, loss: 0.548, acc: 0.667
Epoch 187, loss: 0.453, acc: 0.813
Eval epoch 187, loss: 0.515, acc: 0.722
Epoch 188, loss: 0.432, acc: 0.827
